district,bedrooms,bathrooms,price_vnd,area_m2,posting_year,posting_month,posting_quarter,month_sin,month_cos,days_since_posted,half_year,price_per_m2
Gia Lâm,0,0,23.9,150.0,2023,2,1,0.8660254037844386,0.5000000000000001,1052,0,159333333.33333334
Thanh Xuân,0,0,7.4,84.0,2024,12,4,-2.4492935982947064e-16,1.0,391,1,88095238.09523809
Thanh Xuân,0,0,5.7,67.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,866,1,85074626.86567163
Tây Hồ,0,0,17.0,104.0,2025,10,4,-0.8660254037844386,0.5000000000000001,61,1,163461538.46153846
Hà Đông,0,0,6.9,88.0,2025,11,4,-0.5000000000000004,0.8660254037844384,50,1,78409090.9090909
Hai Bà Trưng,0,0,49.4,148.0,2024,2,1,0.8660254037844386,0.5000000000000001,676,0,333783783.7837838
Hai Bà Trưng,0,0,47.6,148.0,2023,1,1,0.49999999999999994,0.8660254037844387,1069,0,321621621.6216216
Thanh Xuân,0,0,6.5,71.0,2025,10,4,-0.8660254037844386,0.5000000000000001,71,1,91549295.77464789
Nam Từ Liêm,0,0,6.0,110.0,2024,5,2,0.49999999999999994,-0.8660254037844387,598,0,54545454.54545455
Bắc Từ Liêm,0,0,0.175,51.0,2025,11,4,-0.5000000000000004,0.8660254037844384,40,1,3431372.5490196077
Thạch Thất,0,0,16.1,220.0,2025,11,4,-0.5000000000000004,0.8660254037844384,43,1,73181818.18181819
Hoàng Mai,0,0,2.6,65.0,2025,8,3,-0.8660254037844385,-0.5000000000000004,141,1,40000000.0
Tây Hồ,0,0,9.8,98.0,2023,11,4,-0.5000000000000004,0.8660254037844384,764,1,100000000.0
Cầu Giấy,0,0,7.2,81.0,2024,3,1,1.0,6.123233995736766e-17,653,0,88888888.8888889
Cầu Giấy,0,0,11.3,124.0,2025,8,3,-0.8660254037844385,-0.5000000000000004,143,1,91129032.25806452
Móng Cái,0,0,6.5,90.0,2023,12,4,-2.4492935982947064e-16,1.0,748,1,72222222.22222222
Thanh Trì,0,0,8.8,50.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,874,1,176000000.0
Tây Hồ,0,0,24.1,80.0,2024,9,3,-1.0,-1.8369701987210297e-16,463,1,301250000.0
Thanh Xuân,0,0,5.2,101.0,2024,10,4,-0.8660254037844386,0.5000000000000001,451,1,51485148.51485149
Hà Đông,0,0,5.9,120.0,2023,5,2,0.49999999999999994,-0.8660254037844387,953,0,49166666.666666664
Long Biên,0,0,5.4,33.0,2025,12,4,-2.4492935982947064e-16,1.0,23,1,163636363.63636363
Thanh Xuân,0,0,5.1,93.0,2023,7,3,-0.4999999999999997,-0.8660254037844388,904,1,54838709.67741936
Hà Đông,0,0,4.0,60.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,500,1,66666666.666666664
Tây Hồ,0,0,25.0,68.0,2025,4,2,0.8660254037844387,-0.4999999999999998,267,0,367647058.8235294
